"v","r","w"
"{""id"":838,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K22:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K22:A2"",""type"":""panel"",""device"":""K22""}}","{""id"":4470,""type"":""conn"",""start"":838,""end"":534,""properties"":{""wire_number"":""1072"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":1372,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K6:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K6:A2"",""type"":""panel"",""device"":""K6""}}","{""id"":4341,""type"":""conn"",""start"":1372,""end"":534,""properties"":{""wire_number"":""975"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":1369,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K7:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K7:A2"",""type"":""panel"",""device"":""K7""}}","{""id"":4337,""type"":""conn"",""start"":1369,""end"":534,""properties"":{""wire_number"":""973"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":976,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K4:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K4:A2"",""type"":""panel"",""device"":""K4""}}","{""id"":4211,""type"":""conn"",""start"":976,""end"":534,""properties"":{""wire_number"":""840"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":1264,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-G4:8"",""location"":""K1.B1"",""terminal"":""8"",""id"":""K1.B1-G4:8"",""type"":""panel"",""device"":""G4""}}","{""id"":4198,""type"":""conn"",""start"":1264,""end"":534,""properties"":{""wire_number"":""832"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":623,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:4:5"",""location"":""K1.B1"",""terminal"":""4:5"",""id"":""K1.B1-X9:4:5"",""type"":""panel"",""device"":""X9""}}","{""id"":3979,""type"":""conn"",""start"":623,""end"":534,""properties"":{""wire_number"":""679"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":1050,""labels"":[""Vertex""],""properties"":{""function"":""O02"",""name"":""=O02+K1.H1-A20-X3:5"",""location"":""K1.H1"",""terminal"":""5"",""id"":""K1.H1-A20-X3:5"",""type"":""PLC"",""device"":""A20-X3""}}","{""id"":3837,""type"":""conn"",""start"":1050,""end"":534,""properties"":{""wire_number"":""580"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":870,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-W6(-P2):P2:2"",""location"":""K1.B1"",""terminal"":""P2:2"",""id"":""K1.B1-W6(-P2):P2:2"",""type"":""panel"",""device"":""W6(-P2)""}}","{""id"":3601,""type"":""conn"",""start"":870,""end"":534,""properties"":{""wire_number"":""364"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":852,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:17:3"",""location"":""K1.B1"",""terminal"":""17:3"",""id"":""K1.B1-X9:17:3"",""type"":""panel"",""device"":""X9""}}","{""id"":3571,""type"":""conn"",""start"":852,""end"":534,""properties"":{""wire_number"":""339"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":837,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K21.1:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K21.1:A2"",""type"":""panel"",""device"":""K21.1""}}","{""id"":3550,""type"":""conn"",""start"":837,""end"":534,""properties"":{""wire_number"":""327"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":836,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K21:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K21:A2"",""type"":""panel"",""device"":""K21""}}","{""id"":3548,""type"":""conn"",""start"":836,""end"":534,""properties"":{""wire_number"":""325"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":809,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:16:5"",""location"":""K1.B1"",""terminal"":""16:5"",""id"":""K1.B1-X9:16:5"",""type"":""panel"",""device"":""X9""}}","{""id"":3512,""type"":""conn"",""start"":809,""end"":534,""properties"":{""wire_number"":""306"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":610,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H1-K1:A2"",""location"":""K1.H1"",""terminal"":""A2"",""id"":""K1.H1-K1:A2"",""type"":""panel"",""device"":""K1""}}","{""id"":3290,""type"":""conn"",""start"":610,""end"":534,""properties"":{""color"":""BU"",""wire_number"":""1519""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":542,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:A2"",""location"":""K1.H2"",""terminal"":""A2"",""id"":""K1.H2-K2:A2"",""type"":""panel"",""device"":""K2""}}","{""id"":3188,""type"":""conn"",""start"":542,""end"":534,""properties"":{""wire_number"":""89"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":533,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:A2"",""location"":""K1.H2"",""terminal"":""A2"",""id"":""K1.H2-K1:A2"",""type"":""panel"",""device"":""K1""}}","{""id"":3178,""type"":""conn"",""start"":533,""end"":534,""properties"":{""wire_number"":""84"",""color"":""BU""}}","{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}"
"{""id"":536,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:A1"",""location"":""K1.H2"",""terminal"":""A1"",""id"":""K1.H2-K1:A1"",""type"":""panel"",""device"":""K1""}}","{""id"":3181,""type"":""conn"",""start"":536,""end"":535,""properties"":{""wire_number"":""85"",""color"":""BU""}}","{""id"":535,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K20:34"",""location"":""K1.B1"",""terminal"":""34"",""id"":""K1.B1-K20:34"",""type"":""panel"",""device"":""K20""}}"
"{""id"":537,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-K1:13"",""type"":""panel"",""device"":""K1""}}","{""id"":3183,""type"":""conn"",""start"":537,""end"":536,""properties"":{""wire_number"":""86"",""color"":""BU""}}","{""id"":536,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:A1"",""location"":""K1.H2"",""terminal"":""A1"",""id"":""K1.H2-K1:A1"",""type"":""panel"",""device"":""K1""}}"
"{""id"":535,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K20:34"",""location"":""K1.B1"",""terminal"":""34"",""id"":""K1.B1-K20:34"",""type"":""panel"",""device"":""K20""}}","{""id"":3180,""type"":""conn"",""start"":535,""end"":536,""properties"":{""wire_number"":""85"",""color"":""BU""}}","{""id"":536,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:A1"",""location"":""K1.H2"",""terminal"":""A1"",""id"":""K1.H2-K1:A1"",""type"":""panel"",""device"":""K1""}}"
"{""id"":536,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:A1"",""location"":""K1.H2"",""terminal"":""A1"",""id"":""K1.H2-K1:A1"",""type"":""panel"",""device"":""K1""}}","{""id"":3182,""type"":""conn"",""start"":536,""end"":537,""properties"":{""wire_number"":""86"",""color"":""BU""}}","{""id"":537,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-K1:13"",""type"":""panel"",""device"":""K1""}}"
"{""id"":539,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K20:33"",""location"":""K1.B1"",""terminal"":""33"",""id"":""K1.B1-K20:33"",""type"":""panel"",""device"":""K20""}}","{""id"":3185,""type"":""conn"",""start"":539,""end"":538,""properties"":{""wire_number"":""87"",""color"":""BU""}}","{""id"":538,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:64"",""location"":""K1.B1"",""terminal"":""64"",""id"":""K1.B1-K1:64"",""type"":""panel"",""device"":""K1""}}"
"{""id"":538,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:64"",""location"":""K1.B1"",""terminal"":""64"",""id"":""K1.B1-K1:64"",""type"":""panel"",""device"":""K1""}}","{""id"":3184,""type"":""conn"",""start"":538,""end"":539,""properties"":{""wire_number"":""87"",""color"":""BU""}}","{""id"":539,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K20:33"",""location"":""K1.B1"",""terminal"":""33"",""id"":""K1.B1-K20:33"",""type"":""panel"",""device"":""K20""}}"
"{""id"":6419,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K8:14"",""location"":""K1.B1"",""terminal"":""14"",""id"":""K1.B1-K8:14"",""type"":""panel"",""device"":""K8""}}","{""id"":5193,""type"":""conn"",""start"":6419,""end"":540,""properties"":{""wire_number"":""1674"",""color"":""BU""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1378,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-K7:14"",""location"":""K1.B1"",""terminal"":""14"",""id"":""K1.B1-K7:14"",""type"":""panel"",""device"":""K7""}}","{""id"":5187,""type"":""conn"",""start"":1378,""end"":540,""properties"":{""wire_number"":""1669"",""color"":""BU""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1392,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X21-X21.4F:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-X21-X21.4F:7"",""type"":""panel"",""device"":""X21-X21.4F""}}","{""id"":4372,""type"":""conn"",""start"":1392,""end"":540,""properties"":{""wire_number"":""1005"",""color"":""BU""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1376,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-K20:63"",""location"":""K1.B1"",""terminal"":""63"",""id"":""K1.B1-K20:63"",""type"":""panel"",""device"":""K20""}}","{""id"":4348,""type"":""conn"",""start"":1376,""end"":540,""properties"":{""wire_number"":""981"",""color"":""BU""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1289,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X21-X21.2F:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-X21-X21.2F:7"",""type"":""panel"",""device"":""X21-X21.2F""}}","{""id"":4240,""type"":""conn"",""start"":1289,""end"":540,""properties"":{""wire_number"":""868"",""color"":""BU""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":1175,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X21-X21.1F:9"",""location"":""K1.B1"",""terminal"":""9"",""id"":""K1.B1-X21-X21.1F:9"",""type"":""panel"",""device"":""X21-X21.1F""}}","{""id"":4064,""type"":""conn"",""start"":1175,""end"":540,""properties"":{""wire_number"":""744"",""color"":""BU"",""cable_type"":""UNITRONIC? LiYCY 10x0,5 mm?""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":624,""labels"":[""Vertex""],""properties"":{""function"":""Q01"",""name"":""=Q01+K1.B1-X9:3:4"",""location"":""K1.B1"",""terminal"":""3:4"",""id"":""K1.B1-X9:3:4"",""type"":""panel"",""device"":""X9""}}","{""id"":3902,""type"":""conn"",""start"":624,""end"":540,""properties"":{""wire_number"":""628"",""color"":""BU""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":841,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X20-X20.3F:15"",""location"":""K1.B1"",""terminal"":""15"",""id"":""K1.B1-X20-X20.3F:15"",""type"":""panel"",""device"":""X20-X20.3F""}}","{""id"":3557,""type"":""conn"",""start"":841,""end"":540,""properties"":{""wire_number"":""332"",""color"":""BU""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":762,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X21-X21.2M:12"",""location"":""K1.B1"",""terminal"":""12"",""id"":""K1.B1-X21-X21.2M:12"",""type"":""panel"",""device"":""X21-X21.2M""}}","{""id"":3459,""type"":""conn"",""start"":762,""end"":540,""properties"":{""wire_number"":""254"",""color"":""BU""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":541,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:63"",""location"":""K1.B1"",""terminal"":""63"",""id"":""K1.B1-K1:63"",""type"":""panel"",""device"":""K1""}}","{""id"":3187,""type"":""conn"",""start"":541,""end"":540,""properties"":{""wire_number"":""88"",""color"":""BU""}}","{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}"
"{""id"":540,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1"",""location"":""K1.B1"",""terminal"":""P1"",""id"":""K1.B1-W5(-P1):P1"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":3186,""type"":""conn"",""start"":540,""end"":541,""properties"":{""wire_number"":""88"",""color"":""BU""}}","{""id"":541,""labels"":[""Vertex""],""properties"":{""function"":""F01"",""name"":""=F01+K1.B1-K1:63"",""location"":""K1.B1"",""terminal"":""63"",""id"":""K1.B1-K1:63"",""type"":""panel"",""device"":""K1""}}"
"{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}","{""id"":3189,""type"":""conn"",""start"":534,""end"":542,""properties"":{""wire_number"":""89"",""color"":""BU""}}","{""id"":542,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:A2"",""location"":""K1.H2"",""terminal"":""A2"",""id"":""K1.H2-K2:A2"",""type"":""panel"",""device"":""K2""}}"
"{""id"":544,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:A1"",""location"":""K1.H2"",""terminal"":""A1"",""id"":""K1.H2-K2:A1"",""type"":""panel"",""device"":""K2""}}","{""id"":3191,""type"":""conn"",""start"":544,""end"":543,""properties"":{""wire_number"":""90"",""color"":""BU""}}","{""id"":543,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:14"",""location"":""K1.H2"",""terminal"":""14"",""id"":""K1.H2-K1:14"",""type"":""panel"",""device"":""K1""}}"
"{""id"":543,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K1:14"",""location"":""K1.H2"",""terminal"":""14"",""id"":""K1.H2-K1:14"",""type"":""panel"",""device"":""K1""}}","{""id"":3190,""type"":""conn"",""start"":543,""end"":544,""properties"":{""wire_number"":""90"",""color"":""BU""}}","{""id"":544,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:A1"",""location"":""K1.H2"",""terminal"":""A1"",""id"":""K1.H2-K2:A1"",""type"":""panel"",""device"":""K2""}}"
"{""id"":550,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-Q1:13"",""type"":""panel"",""device"":""Q1""}}","{""id"":3201,""type"":""conn"",""start"":550,""end"":545,""properties"":{""wire_number"":""95"",""color"":""BU""}}","{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}"
"{""id"":549,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F14:14"",""location"":""K1.H2"",""terminal"":""14"",""id"":""K1.H2-F14:14"",""type"":""panel"",""device"":""F14""}}","{""id"":3199,""type"":""conn"",""start"":549,""end"":545,""properties"":{""wire_number"":""94"",""color"":""BU""}}","{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}"
"{""id"":548,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F13:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-F13:13"",""type"":""panel"",""device"":""F13""}}","{""id"":3197,""type"":""conn"",""start"":548,""end"":545,""properties"":{""wire_number"":""93"",""color"":""BU""}}","{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}"
"{""id"":547,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F12:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-F12:13"",""type"":""panel"",""device"":""F12""}}","{""id"":3195,""type"":""conn"",""start"":547,""end"":545,""properties"":{""wire_number"":""92"",""color"":""BU""}}","{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}"
"{""id"":546,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F11:14"",""location"":""K1.H2"",""terminal"":""14"",""id"":""K1.H2-F11:14"",""type"":""panel"",""device"":""F11""}}","{""id"":3193,""type"":""conn"",""start"":546,""end"":545,""properties"":{""wire_number"":""91"",""color"":""BU""}}","{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}"
"{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}","{""id"":3192,""type"":""conn"",""start"":545,""end"":546,""properties"":{""wire_number"":""91"",""color"":""BU""}}","{""id"":546,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F11:14"",""location"":""K1.H2"",""terminal"":""14"",""id"":""K1.H2-F11:14"",""type"":""panel"",""device"":""F11""}}"
"{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}","{""id"":3194,""type"":""conn"",""start"":545,""end"":547,""properties"":{""wire_number"":""92"",""color"":""BU""}}","{""id"":547,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F12:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-F12:13"",""type"":""panel"",""device"":""F12""}}"
"{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}","{""id"":3196,""type"":""conn"",""start"":545,""end"":548,""properties"":{""wire_number"":""93"",""color"":""BU""}}","{""id"":548,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F13:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-F13:13"",""type"":""panel"",""device"":""F13""}}"
"{""id"":545,""labels"":[""Vertex""],""properties"":{""function"":""A01"",""name"":""=A01+K1.H2-K2:44"",""location"":""K1.H2"",""terminal"":""44"",""id"":""K1.H2-K2:44"",""type"":""panel"",""device"":""K2""}}","{""id"":3198,""type"":""conn"",""start"":545,""end"":549,""properties"":{""wire_number"":""94"",""color"":""BU""}}","{""id"":549,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F14:14"",""location"":""K1.H2"",""terminal"":""14"",""id"":""K1.H2-F14:14"",""type"":""panel"",""device"":""F14""}}"
"{""id"":557,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A1:1"",""location"":""K1.B1"",""terminal"":""1"",""id"":""K1.B1-A1:1"",""type"":""PLC"",""device"":""A1""}}","{""id"":5032,""type"":""conn"",""start"":557,""end"":550,""properties"":{""wire_number"":""1521"",""color"":""BU""}}","{""id"":550,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.H2-Q1:13"",""location"":""K1.H2"",""terminal"":""13"",""id"":""K1.H2-Q1:13"",""type"":""panel"",""device"":""Q1""}}"
